path,group,grid,run,crashed,started,finished
weedmapping-rededge,DLPretrainedDrop,1,1,False,29-05-2023T17:13:57,29-05-2023T18:13:04
weedmapping-rededge,DLPretrainedDrop,1,2,False,29-05-2023T18:13:04,29-05-2023T19:26:16
weedmapping-rededge,DLPretrainedDrop,1,3,False,29-05-2023T19:26:17,29-05-2023T20:34:49
weedmapping-rededge,DLPretrainedDrop,1,4,False,29-05-2023T20:34:50,29-05-2023T22:01:37
weedmapping-rededge,DLPretrainedDrop,1,5,False,29-05-2023T22:01:37,29-05-2023T23:21:12
weedmapping-rededge,DLPretrainedDrop,1,6,False,29-05-2023T23:21:12,30-05-2023T00:13:21
weedmapping-rededge,DLPretrainedDrop,1,7,False,30-05-2023T00:13:21,30-05-2023T01:35:19
test/weedmapping-rededge,SplitLawin,0,0,True,01-06-2023T17:42:20,01-06-2023T17:42:24
weedmapping-rededge,SplitLawin,0,8,False,02-06-2023T15:03:54,02-06-2023T16:04:05
weedmapping-rededge,SplitLawin,0,9,False,02-06-2023T16:04:05,02-06-2023T17:07:04
weedmapping-rededge,SplitLawin,0,10,False,02-06-2023T17:07:04,02-06-2023T18:09:51
weedmapping-rededge,SplitLawin,0,11,False,02-06-2023T18:09:51,02-06-2023T19:15:40
weedmapping-rededge,SplitLawin,0,12,False,02-06-2023T19:15:40,02-06-2023T21:50:22
weedmapping-rededge,SplitLawin,0,13,False,02-06-2023T21:50:22,03-06-2023T03:17:46
